67;SP;JUNDIAI;State;461.409271;464.222229;531.101868;507.946289;575.185181
68;CE;ITAPAGE;State;493.654449;505.993744;548.727661;556.612488;614.285706
69;PR;PALOTINA;State;464.972717;444.156372;442.192719;512.712708;417.818176
70;SP;BARRA BONITA;Private;610.742310;560.073059;591.865356;733.257690;660.000000
71;SP;JAU;Private;677.200012;618.414978;631.044983;773.659973;692.000000
72;PR;CURITIBA;Private;492.845459;485.477264;520.886353;588.004517;525.454529
73;PR;FOZ DO IGUACU;Private;492.914276;493.928558;559.671448;557.421448;520.000000
74;SP;SAO PAULO;Private;487.892578;479.937042;536.446289;565.855530;541.111084
75;SP;BAURU;Private;479.962494;466.875000;521.775024;562.106262;566.250000
76;SP;BRAGANCA PAULISTA;Private;431.983337;490.061096;540.033325;532.083313;573.333313
77;SP;COTIA;Private;497.490906;503.013641;533.031799;625.118164;566.363647
78;SP;DIADEMA;Private;493.345245;478.211914;543.695251;569.188110;602.380981
79;CE;FORTALEZA;Private;496.294739;499.910522;548.742126;592.310547;602.105286
80;SP;ITAPECERICA DA SERRA;Private;503.744690;497.878723;561.604248;585.146790;606.382996
81;SP;ITARARE;Private;510.143738;530.562500;575.231262;597.993774;646.250000
82;SP;JACAREI;Private;535.328552;531.892883;588.035706;620.578552;595.714294
83;SP;LORENA;Private;499.423065;494.707703;552.169250;537.538452;586.153870
84;SP;MOGI DAS CRUZES;Private;512.233337;498.038879;541.527771;565.266663;585.555542
85;SP;PIRACICABA;Private;539.262512;536.856262;565.106262;617.331238;576.250000
86;SP;RIBEIRAO PRETO;Private;555.804565;558.022705;590.890930;642.322754;564.545471
87;SP;SAO JOSE DO RIO PRETO;Private;511.160004;519.940002;555.575989;580.903992;588.799988
88;SP;SANTOS;Private;495.992584;490.470367;539.837036;601.677795;539.629639
89;SP;SAO CARLOS;Private;534.309082;548.272705;575.190918;622.031799;667.272705
90;SP;SAO JOSE DOS CAMPOS;Private;492.142853;499.967865;558.982117;580.764282;559.285706
91;SP;SOROCABA;Private;521.900024;510.594727;559.236816;601.252625;657.894714
92;SP;TATUI;Private;467.641174;469.899994;520.929382;524.582336;529.411743
93;SP;GUARULHOS;Private;497.810699;491.103577;557.000000;555.889282;587.857117
94;SP;VOTUPORANGA;Private;503.261536;513.799988;568.238464;550.876953;646.153870
95;PR;CURITIBA;Private;490.392303;505.869232;560.430786;572.392334;563.076904
96;SP;PRESIDENTE PRUDENTE;Private;556.768005;552.812012;580.500000;631.492004;615.200012
97;SP;SAO PAULO;Private;503.063904;516.227783;561.530579;602.094421;582.777771
98;SP;SANTO ANDRE;Private;479.674988;500.429413;548.823547;556.979431;593.529419
99;SP;SAO CAETANO DO SUL;Private;469.727783;483.505554;529.661133;553.111084;574.444458
100;SP;HORTOLANDIA;Private;539.894653;524.745728;568.205322;615.209595;621.206360
101;SP;CATANDUVA;Private;524.574097;522.462952;555.181458;610.781494;609.629639
102;SP;FERNANDOPOLIS;State;443.764282;442.221436;499.435699;522.907166;472.857147
103;PR;SAO JOSE DOS PINHAIS;State;471.098267;479.382751;526.305176;524.886230;531.379333
104;SP;PENAPOLIS;Private;578.234070;562.510620;595.374451;639.044678;644.680847
105;SP;SALTO DE PIRAPORA;State;462.355133;467.152344;523.800964;502.729919;520.747681
106;CE;FORTALEZA;Private;533.531799;502.668182;575.427246;601.845459;664.545471
107;CE;CRATO;Private;602.859985;600.369995;623.099976;645.080017;674.000000
108;SP;ESTIVA GERBI;State;471.627594;462.696564;506.872406;511.927582;542.758606
109;SP;SAO SIMAO;State;452.480560;471.527771;511.922211;499.527771;502.777771
110;PR;PATO BRANCO;State;472.346100;463.707825;525.665222;529.347839;541.913025
111;SP;TAUBATE;State;444.573914;443.656525;502.495667;457.447815;472.173920
112;SP;ITAPEVA;State;409.453339;436.773346;444.660004;459.626678;492.000000
113;PR;FRANCISCO BELTRAO;Private;571.313965;566.441833;583.634888;659.862793;619.534912
114;PR;PATO BRANCO;Private;564.271851;549.724976;581.464050;647.820313;635.312500
115;PR;CORNELIO PROCOPIO;Private;515.954529;521.439392;556.533325;633.375732;564.242432
116;SP;SOROCABA;Private;553.092773;553.888428;591.758667;653.009399;609.094177
117;SP;TAQUARITINGA;Private;549.081848;536.290894;551.927246;661.018188;649.090881
